input,chain_of_thought,output
"Find the next number in the sequence: [3, 2, 24, 36]","The pattern increases by -1, so the next number is...",9
A car moves at 32 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 32 × 3 =,96 km
What is the capital of France?,The capital city of France is...,Paris
What is 437 + 133?,Adding 437 to 133 gives...,570
What is 437 - 133?,Subtracting 133 from 437 leaves...,304
What is 437 × 133?,Multiplying 437 by 133 results in...,58121
What is 437 ÷ 133?,Dividing 437 by 133 gives...,3.29
If I have 19 apples and get 3 more...,19 apples + 3 apples = total...,22 apples
"Find the next number in the sequence: [3, 16, 9, 4]","The pattern increases by 13, so the next number is...",18
A car moves at 117 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 117 × 1 =,117 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 150 + 698?,Adding 150 to 698 gives...,848
What is 150 - 698?,Subtracting 698 from 150 leaves...,-548
What is 150 × 698?,Multiplying 150 by 698 results in...,104700
What is 150 ÷ 698?,Dividing 150 by 698 gives...,0.21
If I have 17 apples and get 7 more...,17 apples + 7 apples = total...,24 apples
"Find the next number in the sequence: [10, 10, 24, 28]","The pattern increases by 0, so the next number is...",15
A car moves at 93 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 93 × 2 =,186 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 83 + 869?,Adding 83 to 869 gives...,952
What is 83 - 869?,Subtracting 869 from 83 leaves...,-786
What is 83 × 869?,Multiplying 83 by 869 results in...,72127
What is 83 ÷ 869?,Dividing 83 by 869 gives...,0.1
If I have 6 apples and get 6 more...,6 apples + 6 apples = total...,12 apples
"Find the next number in the sequence: [6, 8, 12, 24]","The pattern increases by 2, so the next number is...",7
A car moves at 112 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 112 × 5 =,560 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 204 + 633?,Adding 204 to 633 gives...,837
What is 204 - 633?,Subtracting 633 from 204 leaves...,-429
What is 204 × 633?,Multiplying 204 by 633 results in...,129132
What is 204 ÷ 633?,Dividing 204 by 633 gives...,0.32
If I have 9 apples and get 4 more...,9 apples + 4 apples = total...,13 apples
"Find the next number in the sequence: [6, 10, 12, 4]","The pattern increases by 4, so the next number is...",24
A car moves at 45 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 45 × 1 =,45 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 318 + 971?,Adding 318 to 971 gives...,1289
What is 318 - 971?,Subtracting 971 from 318 leaves...,-653
What is 318 × 971?,Multiplying 318 by 971 results in...,308778
What is 318 ÷ 971?,Dividing 318 by 971 gives...,0.33
If I have 18 apples and get 6 more...,18 apples + 6 apples = total...,24 apples
"Find the next number in the sequence: [1, 2, 30, 8]","The pattern increases by 1, so the next number is...",46
A car moves at 107 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 107 × 2 =,214 km
What is the capital of France?,The capital city of France is...,Paris
What is 559 + 832?,Adding 559 to 832 gives...,1391
What is 559 - 832?,Subtracting 832 from 559 leaves...,-273
What is 559 × 832?,Multiplying 559 by 832 results in...,465088
What is 559 ÷ 832?,Dividing 559 by 832 gives...,0.67
If I have 7 apples and get 1 more...,7 apples + 1 apples = total...,8 apples
"Find the next number in the sequence: [7, 2, 18, 36]","The pattern increases by -5, so the next number is...",15
A car moves at 84 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 84 × 4 =,336 km
What is the capital of France?,The capital city of France is...,Paris
What is 989 + 575?,Adding 989 to 575 gives...,1564
What is 989 - 575?,Subtracting 575 from 989 leaves...,414
What is 989 × 575?,Multiplying 989 by 575 results in...,568675
What is 989 ÷ 575?,Dividing 989 by 575 gives...,1.72
If I have 16 apples and get 9 more...,16 apples + 9 apples = total...,25 apples
"Find the next number in the sequence: [4, 10, 12, 20]","The pattern increases by 6, so the next number is...",11
A car moves at 63 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 63 × 5 =,315 km
What is the capital of France?,The capital city of France is...,Paris
What is 360 + 199?,Adding 360 to 199 gives...,559
What is 360 - 199?,Subtracting 199 from 360 leaves...,161
What is 360 × 199?,Multiplying 360 by 199 results in...,71640
What is 360 ÷ 199?,Dividing 360 by 199 gives...,1.81
If I have 17 apples and get 2 more...,17 apples + 2 apples = total...,19 apples
"Find the next number in the sequence: [9, 14, 30, 8]","The pattern increases by 5, so the next number is...",10
A car moves at 79 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 79 × 1 =,79 km
What is the capital of France?,The capital city of France is...,Paris
What is 812 + 424?,Adding 812 to 424 gives...,1236
What is 812 - 424?,Subtracting 424 from 812 leaves...,388
What is 812 × 424?,Multiplying 812 by 424 results in...,344288
What is 812 ÷ 424?,Dividing 812 by 424 gives...,1.92
If I have 8 apples and get 9 more...,8 apples + 9 apples = total...,17 apples
"Find the next number in the sequence: [10, 2, 18, 36]","The pattern increases by -8, so the next number is...",37
A car moves at 47 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 47 × 4 =,188 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 88 + 23?,Adding 88 to 23 gives...,111
What is 88 - 23?,Subtracting 23 from 88 leaves...,65
What is 88 × 23?,Multiplying 88 by 23 results in...,2024
What is 88 ÷ 23?,Dividing 88 by 23 gives...,3.83
If I have 3 apples and get 6 more...,3 apples + 6 apples = total...,9 apples
"Find the next number in the sequence: [1, 14, 30, 20]","The pattern increases by 13, so the next number is...",63
A car moves at 70 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 70 × 2 =,140 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 947 + 616?,Adding 947 to 616 gives...,1563
What is 947 - 616?,Subtracting 616 from 947 leaves...,331
What is 947 × 616?,Multiplying 947 by 616 results in...,583352
What is 947 ÷ 616?,Dividing 947 by 616 gives...,1.54
If I have 18 apples and get 10 more...,18 apples + 10 apples = total...,28 apples
"Find the next number in the sequence: [3, 8, 9, 32]","The pattern increases by 5, so the next number is...",25
A car moves at 79 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 79 × 1 =,79 km
What is the capital of France?,The capital city of France is...,Paris
What is 885 + 729?,Adding 885 to 729 gives...,1614
What is 885 - 729?,Subtracting 729 from 885 leaves...,156
What is 885 × 729?,Multiplying 885 by 729 results in...,645165
What is 885 ÷ 729?,Dividing 885 by 729 gives...,1.21
If I have 18 apples and get 8 more...,18 apples + 8 apples = total...,26 apples
"Find the next number in the sequence: [2, 20, 3, 4]","The pattern increases by 18, so the next number is...",43
A car moves at 42 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 42 × 5 =,210 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 548 + 279?,Adding 548 to 279 gives...,827
What is 548 - 279?,Subtracting 279 from 548 leaves...,269
What is 548 × 279?,Multiplying 548 by 279 results in...,152892
What is 548 ÷ 279?,Dividing 548 by 279 gives...,1.96
If I have 18 apples and get 7 more...,18 apples + 7 apples = total...,25 apples
"Find the next number in the sequence: [8, 2, 27, 8]","The pattern increases by -6, so the next number is...",24
A car moves at 98 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 98 × 1 =,98 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 332 + 925?,Adding 332 to 925 gives...,1257
What is 332 - 925?,Subtracting 925 from 332 leaves...,-593
What is 332 × 925?,Multiplying 332 by 925 results in...,307100
What is 332 ÷ 925?,Dividing 332 by 925 gives...,0.36
If I have 19 apples and get 7 more...,19 apples + 7 apples = total...,26 apples
"Find the next number in the sequence: [2, 10, 30, 36]","The pattern increases by 8, so the next number is...",48
A car moves at 107 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 107 × 4 =,428 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 439 + 646?,Adding 439 to 646 gives...,1085
What is 439 - 646?,Subtracting 646 from 439 leaves...,-207
What is 439 × 646?,Multiplying 439 by 646 results in...,283594
What is 439 ÷ 646?,Dividing 439 by 646 gives...,0.68
If I have 11 apples and get 10 more...,11 apples + 10 apples = total...,21 apples
"Find the next number in the sequence: [9, 20, 18, 8]","The pattern increases by 11, so the next number is...",61
A car moves at 77 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 77 × 1 =,77 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 604 + 718?,Adding 604 to 718 gives...,1322
What is 604 - 718?,Subtracting 718 from 604 leaves...,-114
What is 604 × 718?,Multiplying 604 by 718 results in...,433672
What is 604 ÷ 718?,Dividing 604 by 718 gives...,0.84
If I have 2 apples and get 1 more...,2 apples + 1 apples = total...,3 apples
"Find the next number in the sequence: [7, 8, 30, 12]","The pattern increases by 1, so the next number is...",46
A car moves at 89 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 89 × 3 =,267 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 516 + 975?,Adding 516 to 975 gives...,1491
What is 516 - 975?,Subtracting 975 from 516 leaves...,-459
What is 516 × 975?,Multiplying 516 by 975 results in...,503100
What is 516 ÷ 975?,Dividing 516 by 975 gives...,0.53
If I have 17 apples and get 7 more...,17 apples + 7 apples = total...,24 apples
"Find the next number in the sequence: [7, 8, 15, 28]","The pattern increases by 1, so the next number is...",41
A car moves at 119 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 119 × 1 =,119 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 498 + 445?,Adding 498 to 445 gives...,943
What is 498 - 445?,Subtracting 445 from 498 leaves...,53
What is 498 × 445?,Multiplying 498 by 445 results in...,221610
What is 498 ÷ 445?,Dividing 498 by 445 gives...,1.12
If I have 18 apples and get 9 more...,18 apples + 9 apples = total...,27 apples
"Find the next number in the sequence: [7, 16, 30, 12]","The pattern increases by 9, so the next number is...",39
A car moves at 105 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 105 × 3 =,315 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 113 + 475?,Adding 113 to 475 gives...,588
What is 113 - 475?,Subtracting 475 from 113 leaves...,-362
What is 113 × 475?,Multiplying 113 by 475 results in...,53675
What is 113 ÷ 475?,Dividing 113 by 475 gives...,0.24
If I have 10 apples and get 3 more...,10 apples + 3 apples = total...,13 apples
"Find the next number in the sequence: [10, 16, 9, 20]","The pattern increases by 6, so the next number is...",51
A car moves at 72 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 72 × 2 =,144 km
What is the capital of France?,The capital city of France is...,Paris
What is 55 + 100?,Adding 55 to 100 gives...,155
What is 55 - 100?,Subtracting 100 from 55 leaves...,-45
What is 55 × 100?,Multiplying 55 by 100 results in...,5500
What is 55 ÷ 100?,Dividing 55 by 100 gives...,0.55
If I have 20 apples and get 8 more...,20 apples + 8 apples = total...,28 apples
"Find the next number in the sequence: [5, 16, 27, 40]","The pattern increases by 11, so the next number is...",26
A car moves at 77 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 77 × 5 =,385 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 744 + 663?,Adding 744 to 663 gives...,1407
What is 744 - 663?,Subtracting 663 from 744 leaves...,81
What is 744 × 663?,Multiplying 744 by 663 results in...,493272
What is 744 ÷ 663?,Dividing 744 by 663 gives...,1.12
If I have 20 apples and get 2 more...,20 apples + 2 apples = total...,22 apples
"Find the next number in the sequence: [4, 10, 30, 24]","The pattern increases by 6, so the next number is...",16
A car moves at 33 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 33 × 4 =,132 km
What is the capital of France?,The capital city of France is...,Paris
What is 893 + 970?,Adding 893 to 970 gives...,1863
What is 893 - 970?,Subtracting 970 from 893 leaves...,-77
What is 893 × 970?,Multiplying 893 by 970 results in...,866210
What is 893 ÷ 970?,Dividing 893 by 970 gives...,0.92
If I have 18 apples and get 5 more...,18 apples + 5 apples = total...,23 apples
"Find the next number in the sequence: [7, 2, 18, 40]","The pattern increases by -5, so the next number is...",15
A car moves at 79 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 79 × 5 =,395 km
What is the capital of France?,The capital city of France is...,Paris
What is 742 + 875?,Adding 742 to 875 gives...,1617
What is 742 - 875?,Subtracting 875 from 742 leaves...,-133
What is 742 × 875?,Multiplying 742 by 875 results in...,649250
What is 742 ÷ 875?,Dividing 742 by 875 gives...,0.85
If I have 4 apples and get 3 more...,4 apples + 3 apples = total...,7 apples
"Find the next number in the sequence: [5, 8, 21, 20]","The pattern increases by 3, so the next number is...",33
A car moves at 92 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 92 × 1 =,92 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 51 + 845?,Adding 51 to 845 gives...,896
What is 51 - 845?,Subtracting 845 from 51 leaves...,-794
What is 51 × 845?,Multiplying 51 by 845 results in...,43095
What is 51 ÷ 845?,Dividing 51 by 845 gives...,0.06
If I have 4 apples and get 10 more...,4 apples + 10 apples = total...,14 apples
"Find the next number in the sequence: [10, 16, 21, 16]","The pattern increases by 6, so the next number is...",51
A car moves at 81 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 81 × 2 =,162 km
What is the capital of France?,The capital city of France is...,Paris
What is 699 + 303?,Adding 699 to 303 gives...,1002
What is 699 - 303?,Subtracting 303 from 699 leaves...,396
